2025-02-18 16:22:26,165 - detector_fadiga - INFO - Sistema de logging inicializado
2025-02-18 16:22:26,326 - detector_fadiga - ERROR - Erro ao inicializar alertas sonoros: No file 'sounds/alert.mp3' found in working directory 'C:\Users\Lucas Neves\Documents\DOCUMENTOSDIVERSOS\DocumentosFaculdade\TCC\Driver-Drowsiness'.
2025-02-18 16:22:26,326 - detector_fadiga - INFO - MediaPipe inicializado
2025-02-18 16:22:26,327 - detector_fadiga - INFO - Novo modelo de detecção de anomalias criado
2025-02-18 16:22:26,328 - detector_fadiga - INFO - Threads secundárias iniciadas
2025-02-18 16:22:28,705 - detector_fadiga - INFO - Iniciando detector de fadiga avançado...
2025-02-18 16:22:31,986 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,019 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,050 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,117 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,145 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,179 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,212 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,243 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,260 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,292 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,323 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,354 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,386 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,419 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,450 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,517 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,546 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,577 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,612 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,628 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,657 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,692 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,725 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,754 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,786 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,819 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,852 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,916 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,947 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,963 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:32,995 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,027 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,060 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,091 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,122 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,155 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,187 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,217 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,250 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,281 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,315 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,363 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,395 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,427 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,460 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,489 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,523 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,554 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,586 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,619 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,653 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,698 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,731 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,761 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,795 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,828 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,858 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,890 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,924 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,954 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:33,985 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,034 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,066 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,099 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,130 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,162 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,195 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,226 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,259 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,290 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,323 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,353 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,403 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,435 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,466 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,499 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,531 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,564 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,594 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,625 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,658 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,693 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,739 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,771 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:34,803 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
